csg-0231_301_L_01	219,744,1208,817	818	ultimus-autem-aerumnae	0-314,354-597,627-992
csg-0231_301_L_02	219,869,1387,973	943	procubuit-qui-saxa-ligustica	0-375,425-546,583-779,829-1218
csg-0231_301_L_03	219,994,1402,1078	1068	et-cottana-vento?-usque-adeo	0-89,124-445,486-708,749-962,1006-1187
csg-0231_301_L_04	219,1119,1353,1213	1193	cibus-inperfectus-et-haerens	0-194,235-679,722-813,852-1142
csg-0231_301_L_05	219,1244,1367,1351	1318	ultimus-ardebit-quem-tegula	0-311,349-655,694-887,936-1201
csg-0231_301_L_06	219,1369,1383,1453	1443	accipit-endromidem;-si-dixeris	0-281,311-854,901-974,1020-1318
csg-0231_301_L_07	219,1494,1299,1588	1568	adhuc,-et-iam-accurrit-qui	0-253,287-377,420-564,597-926,962-1083
csg-0231_301_L_08	219,1619,1241,1726	1693	cenula-magno.-fictilibus	0-245,292-606,651-1024
csg-0231_301_L_09	219,1744,1404,1817	1818	illis-creditur.-an-melior-cum	0-174,220-624,657-750,794-1043,1092-1240
csg-0231_301_L_10	219,1869,1308,1953	1943	ponendaque-praemia-sumas	0-450,492-805,852-1091
csg-0231_301_L_11	219,1994,1292,2104	2068	pythagoreis.-est-aliquid,	0-559,600-729,762-1083
csg-0231_301_L_12	219,2119,1237,2192	2193	interdum-aliena-sumitur	0-374,423-666,702-1020
csg-0231_301_L_13	219,2244,1046,2340	2318	prochytam-praepono	0-440,484-829
csg-0231_301_L_14	219,2369,1387,2459	2443	starique-iubet.-parere-necesse	0-340,370-634,668-920,964-1243
csg-0231_301_L_15	219,2494,1287,2592	2568	qui-gentis-vitio-numquam	0-119,167-423,465-666,712-1070
csg-0231_301_L_16	219,2619,1240,2692	2693	rusticus-ille-tuus-sumit	0-336,381-517,566-746,786-1024
csg-0231_301_L_17	219,2744,1199,2837	2818	fulmina-pauper-creditur	0-301,349-612,644-982
csg-0231_301_L_18	219,2869,1298,2933	2943	aestuo,-sudat.-non-sumus	0-293,325-631,665-800,846-1082
csg-0231_301_L_19	219,2994,1344,3100	3068	puellas.-ite,-quibus-grata-est	0-351,397-549,597-843,891-1127,1165-1297
csg-0231_301_L_20	219,3119,1400,3212	3193	tandemque-redit-ad-pulpita	0-433,479-699,746-847,883-1183
csg-0231_301_L_21	219,3244,1319,3350	3318	collega-salutet?-130-divitis	0-273,307-613,657-773,817-1103
csg-0231_301_L_22	219,3369,1318,3442	3443	licet-et-nobis-laudare,-sed	0-190,237-326,373-570,600-937,969-1103
csg-0231_301_L_23	219,3494,1367,3592	3568	togam-sumit-nisi-mortuus.	0-251,289-525,575-726,762-1157
csg-0231_301_L_24	219,3619,1128,3707	3693	libros-dabit-et-forulos	0-225,258-481,512-601,640-912
csg-0231_301_L_25	219,3744,1241,3818	3818	hic-amydone-relicta,-hic	0-105,145-516,562-871,919-1025
csg-0231_301_L_26	219,3869,1349,3967	3943	tristis-et-a-magno-semper	0-294,342-430,475-523,572-816,864-1133
csg-0231_301_R_01	1650,759,2834,866	833	dextrae.-quis-nunc-diligitur	0-399,448-610,641-815,852-1218
csg-0231_301_R_02	1650,884,2807,978	958	pudicus.-horum-si-nihil-est,	0-360,401-628,673-747,788-972,1004-1166
csg-0231_301_R_03	1650,1009,2561,1118	1083	protogenes-aliquis-vel	0-452,493-767,800-914
csg-0231_301_R_04	1650,1134,2822,1207	1208	exclamat,-"cuius-aceto,-cuius	0-413,446-641,690-932,978-1176
csg-0231_301_R_05	1650,1259,2717,1329	1333	tenebras-unum-conducis-in	0-343,379-581,626-954,993-1070
csg-0231_301_R_06	1650,1384,2713,1477	1458	palliolo?-mulier-nempe-ipsa	0-306,338-593,624-860,905-1073
csg-0231_301_R_07	1650,1509,2766,1596	1583	carcere-romam.-his-alias	0-280,317-682,724-875,917-1118
csg-0231_301_R_08	1650,1634,2615,1722	1708	tantumdem-est:-feriunt	0-466,514-645,682-967
csg-0231_301_R_09	1650,1759,2603,1849	1833	quamvis-inprobus-annis	0-321,361-691,740-956
csg-0231_301_R_10	1650,1884,2834,1977	1958	et-extinctae-corpus-non-utile	0-91,123-524,554-802,848-981,1022-1219
csg-0231_301_R_11	1650,2009,2821,2099	2083	pudor-obstabit.-non-possum	0-226,267-677,716-853,892-1174
csg-0231_301_R_12	1650,2134,2673,2221	2208	infelix-et-cursu-ventilat	0-270,307-396,441-651,682-1027
csg-0231_301_R_13	1650,2259,2482,2323	2333	notum-exodium,-cum	0-246,284-647,687-836
csg-0231_301_R_14	1650,2384,2823,2479	2458	trientem.-respice-nunc-alia	0-433,469-776,808-983,1016-1177
csg-0231_301_R_15	1650,2509,2800,2602	2583	dicas-saecula-quae-quondam	0-213,251-535,584-760,809-1153
csg-0231_301_R_16	1650,2634,2814,2726	2708	adorat-ut-liceat-paucis-cum	0-284,323-421,451-692,741-986,1024-1166
csg-0231_301_R_17	1650,2759,2712,2846	2833	interdum-et-ferro-subitus	0-375,416-504,535-728,771-1066
csg-0231_301_R_18	1650,2884,2827,2980	2958	tenentur-et-pomptina-palus	0-361,398-487,533-934,968-1179
csg-0231_301_R_19	1650,3009,2700,3085	3083	thaida-sustinet-aut-cum	0-308,339-687,733-877,907-1053
csg-0231_301_R_20	1650,3134,2753,3227	3208	procedat-vel-numa-vel-qui	0-358,394-509,557-792,830-944,986-1107
csg-0231_301_R_21	1650,3259,2607,3352	3333	partitur-amicum,-solus	0-357,405-727,757-960
csg-0231_301_R_22	1650,3384,2788,3477	3458	differt-vadimonia-praetor.	0-277,324-733,777-1148
csg-0231_301_R_23	1650,3509,2740,3560	3583	nummorum-servat-in-arca,	0-416,461-725,770-850,895-1100
csg-0231_301_R_24	1650,3634,2827,3707	3708	civem-donare-sibyllae.-ianua	0-212,255-525,570-971,1005-1222
csg-0231_301_R_25	1650,3759,2762,3832	3833	deducere-sella.-da-testem	0-341,385-646,684-785,828-1114
csg-0231_301_R_26	1650,3884,2817,3957	3958	rodebant-carmina-mures.-nil	0-361,394-712,748-1043,1079-1192
